piece.title;piece.city;piece.year;piece.composer.one;piece.composer.two;
Não me rasgues a roupa;;;Ângelo Reale;;
Não me toques...;;;Zequinha Abreu;;
Não posso mais;;;Pixinguinha;;
Não tem choro;;;Hervé Cordovil;;
Não vou nessa;;;Pixinguinha;;
Naquele tempo;;;Pixinguinha;Benedito Lacerda;Fábio de Oliveira
Negrinha;;;Joubert de Carvalho;;
Nenê;;;Domingos Pecci;;
Nenê;;;Ernesto Nazareth;;
No coreto;;;Pedro Amorim;;
Nó na garganta;;;Guinga;;
No tempo do vovô;;;Toco Preto;;
Noites cariocas;;;Jacob do Bandolim;Hermínio Bello de Carvalho;
Noites cariocas;;;Jacob do Bandolim;;
Nossa amizade;;;Carolina Cardoso de Menezes;Everardo Baia;
Noturno;;;Leal Tadeu;Helcí Maio;
Num bate-papo;;;Índio do Cavaquinho;;
Numa seresta;;;Luiz Americano;;
O boêmio;;;Anacleto de Medeiros;Catulo da Paixão Cearense;
O bom filho à casa retorna;;;Bonfiglio de Oliveira;;
Ô de casa!;;;Luiz Gonzaga;Mário Rossi;
O despertar da montanha;;;Eduardo Souto;;
O gato e o canário;;;Pixinguinha;Benedito Lacerda;
O mulatinho;;;Belmacio Pousa Godinho;Felipe Tedesco;
O nó;;;Candinho;;
O que vier eu traço;;;Alvaiade;Zé Maria;
O vôo da mosca;;;Jacob do Bandolim;;
Oculto;;;Pixinguinha;;
Odeon;;;Ernesto Nazareth;Hubaldo Maurício;
Odeon;;;Ernesto Nazareth;;
Os 8 batutas;;;Pixinguinha;Benedito Lacerda;
Os cinco companheiros;;;Pixinguinha;;
Os oito batutas;;;Pixinguinha;Benedito Lacerda;
Os pintinhos no terreiro...;;;Zequinha Abreu;Eurico Barreiros;
Os três chorões;;;Cristóvão Bastos;;
Oscarina;;;Pixinguinha;Benedito Lacerda;
Paciente;;;Pixinguinha;;
Pagão;;;Pixinguinha;Benedito Lacerda;
Pagode jazz sardinha's club;;;Rodrigo Lessa;Eduardo Neves;
Papagaio embriagado;;;Mário Mascarenhas;;
Parangolé;;;Pixinguinha;;
Paraquedista;;;José Leocádio;;
Paraty dançante;;;Eduardo Souto;;
Pardal embriagado;;;Patrocinio Gomes;;
Passa tempo;;;Pixinguinha;;
Passageiro do futuro;;;Luiz Suppé;;
Paulista;;;João dos Santos;;
Pé de moleque;;;Jacob do Bandolim;;
Pedacinhos do céu;;;Waldyr Azevedo;;
Peguei a reta;;;Porfírio Costa;;
Perfume de Radamés;;;Guinga;;
Perigoso;;;Orlando Silveira;Esmeraldino Salles;
Perspectivo;;;Cristóvão Bastos;;
Picadinho à baiana;;;Luperce Miranda;;
Pimpolho;;;José Paulo;;
Pitoresco;;;Guio de Morais;;
Polichinelo;;;Gadé;Almanyr Grego;
Por hoje é só;;;Altamiro Carrilho;;
Porque me enganou?;;;Zequinha Abreu;;
Pra dois amores;;;Dininho;Celsinho Silva;
Praça sete;;;Dino;;
Pretencioso;;;Pixinguinha;;
Primeiro amor;;;Pattápio Silva;;
Proezas de Solon;;;Pixinguinha;Benedito Lacerda;
Quando me lembro;;;Luperce Miranda;;
Queixas;;;Milton d'Agostino;;
Queixumes;;;Avena de Castro;;
Quem é você;;;Pixinguinha;;
Queridinho;;;Ângelo Reale;;
Quindim;;;João Portaro;;
Quinta valsa de esquina;;;Francisco Mignone;;
Radamés e Pelé;;;Tom Jobim;;
Rapaziada do Braz;;;Alberto Marino;;
Recado;;;Rossini Ferreira;;
Receita de samba;;;Jacob do Bandolim;;
Recordações de Emiliana;;;Pixinguinha;;
Recordando os velhos tempos;;;Luiz Americano;;
Regra três;;;Pixinguinha;;
Relembrando o passado;;;Luíz dos Santos;Ivanildo José;
Remeleixo;;;Jacob do Bandolim;;
Remexendo;;;Radamés Ganattali;;
Retornando;;;Carlos Lafelice;;
Revendo o passado;;;Feire Júnior ;;
Rio antigo;;;Pixinguinha;;
Rio antigo;;;Altamiro Carrilho;;
Rir pra não chorar;;;Pixinguinha;;
Rosa;;;Pixinguinha;;
Rosa (Evocação);;;Pixinguinha;;
Ruth;;;Antonio Gismonti;;
Sai da frente;;;Abel Ferreira;;
Samambaia;;;Cesar Camargo Mariano;;
Samba de morro;;;Altamiro Carrilho;;
Santa morena;;;Jacob do Bandolim;;
Santinha;;;Anacleto de Medeiros;;
Sapeca;;;Jacob do Bandolim;;
Sarau pra Radamés;;;Paulinho da Viola;;
Saudação;;;Pixinguinha;Providência;
Saudade do cavaquinho;;;Pixinguinha;Muraro;
Saudades de Queluz;;;Lírio Panicali;;
Saudades...;;;Candido Pereira da Silva;;
Saudoso;;;Lina Pesce;;
Sax soprano magoado;;;Luíz dos Santos;Patrasca;
Saxofone;;; porque choras?;Severino Rangel de Carvalho;
Saxofone;;; porque choras?;Ratinho;
Se ela perguntar;;;Dilermando Reis;;
Sedutor;;;Pixinguinha;Benedito Lacerda;
Segura ele;;;Pixinguinha;Benedito Lacerda;
Sempre;;;K-Ximbinho;;
Sensível;;;Pixinguinha;;
Será que é isso?;;;Copinha;;
Serenata;;;Dilermando Reis;;
Serenata no Joá;;;Radamés Gnatalli;;
Seresta;;;Waldyr Azevedo;;
Seresteiro;;;Benedito Lacerda;Oduwaldo Lacerda;
Serpentina;;;Nelson Alves;;
Seu Lourenço no vinho;;;Pixinguinha;Benedito Lacerda;
Silencioso;;;Guerra Peixe;;
Simplicidade;;;Jacob Bittencourt;;
Só pra mim;;;Pixinguinha;;
Só pra moer;;;Viriato Figueira;;
Sofres porque queres;;;Pixinguinha;Benedito Lacerda;
Solitário;;;Zequinha Abreu;Ruy Borba;
Soluçando;;;Candinho;;
Soluços;;;Pixinguinha;Benedito Lacerda;
Somente;;;Pixinguinha;;
Sonhando;;;Domingos Pecci;;
Sonhando;;;K-Ximbinho;;
Sonhando amor;;;Zequinha Abreu;Ruy Borba;
Sonoroso;;;K-Ximbinho;;
Sonoroso;;;K-Ximbinho;Del Loro;
Sons de carrilhões;;;João Teixeira Guimarães;;
Sons de carrilhões;;;João Pernambuco;;
Soprano de gafieira;;;Luíz dos Santos;Renil Perone;
Sorriso de cristal;;;Erika Rego;;
Sossega Juca;;;Luiz Americano;;
Subindo ao céu;;;Aristides Borges;;
Sururú na cidade;;;Zequinha Abreu;;
Sururú na gafieira;;;Virgilio Mugnai;;
Tamoio;;;Nabor Pires Camargo;;
Tangará na dança;;;Lina Pesce;;
Tempo de criança;;;Dilermando Reis;;
Tenebroso;;;Ernesto Nazareth;;
Terna saudade (Por um beijo);;;Anacleto de Medeiros;Catulo da Paixão Cearense;
Ternura;;;K-Ximbinho;;
Teu aniversário;;;Pixinguinha;;
Teu beijo;;;Mario Alves;;
Teus olhos;;;Ataulpho Alves;Roberto Martins;
Tico;;;Pixinguinha;;
Tico tico;;;Garoto;;
Tico tico no fubá;;;Zequinha Abreu;Eurico Barreiros;
Tico tico no fubá;;;Zequinha Abreu;;
Tigre da lapa;;;Luiz Americano;;
Tira poeira;;;Jacob do Bandolim;Sátiro Bilhar;
Tô fraco;;;Pixinguinha;;
Tomando sereno;;;José Maria de Abreu;;
Tragédia de bolso;;;Tico-Tico;;
Tranca rua;;;Renato Tito;;
Treme-treme;;;Jacob do Bandolim;;
Três estrelinhas;;;Anacleto de Medeiros;Guimarães Martins;
Tristezas de um violão;;;Garoto;;
Triunfando;;;Marco César;João Lyra;
Trombone atrevido;;;Pixinguinha;;
Tua imagem;;;Canhoto da Paraíba;;
Tudo dança;;;Bonfiglio de Oliveira;;
Tupinambá;;;Ernesto Nazareth;;
Turbilhão de beijos;;;Ernesto Nazareth;;
Um a zero;;;Pixinguinha;Benedito Lacerda;
Um chorinho atual;;;Renato Tito;;
Um chorinho diferente;;;El Gaúcho;Ivonne Rebello;
Um chorinho em aldeia;;;Severino Araújo;;
Um chorinho pra você;;;Severino Araújo;;
Um choro num trem;;;Candido Pereira da Silva;;
Um sarau para Rafael;;;Paulinho da Viola;;
Uma simples lembrança;;;Pixinguinha;;
Urubatã;;;Pixinguinha;Benedito Lacerda;
Urubatan;;;Pixinguinha;Benedito Lacerda;
Urubu malandro;;;Loro;João de Barro;
Urubú malandro;;;Lourival Carvalho;João de Barro;
Vale tudo;;;Jacob do Bandolim;;
Valsa da noite;;;Mário Sève;;
Valsa dos anjos;;;Antonio Adolfo;Paulinho Tapajós;
Valsa faceira;;;Pixinguinha;;
Valsa sem nome;;;Baden Powell;;
Vamos brincar;;;Pixinguinha;;
Vê se gostas;;;Waldyr Azevedo;Octaviano Pitanga;
Vê se gostas;;;Waldyr Azevedo;;
Velhos chorões;;;Luciana Rabello;;
Velhos tempos;;;Luiz Bonfá;;
Velhos tempos;;;Carlos Lyra;Marino Pinto;
Veludo;;;Waldir Silva;;
Vem vindo;;;Pixinguinha;;
Vibrações;;;Jacob do Bandolim;;
Visitando Recife;;;Canhoto da Paraíba;;
Voltei ao meu lugar;;;Carioca;;
Vou casar no Uruguay...;;;Gadé;Walfrido Silva;
Vou vivendo;;;Pixinguinha;Benedito Lacerda;
Zinha;;;Pattapio Silva;;
Zinha;;;Patápio Silva;;
